SeqID;Isolate_Id;Isolate_Name;subtype;Location;lat;lon;Host;Collection_Date;Animal_Specimen_Source;Animal_Health_Status;Domestic_Status;;
>EPI_ISL_1305777|A/Common_peacock/Sweden/SVA210311SZ0002/KN001568-IP14/2021|A_/_H5N5;EPI_ISL_1305777;A/Common_peacock/Sweden/SVA210311SZ0002/KN001568-IP14/2021;A / H5N5;Europe / Sweden / Skane Lan / Skurups Kommun;;;Avian;2021-03-10;;;;;
>EPI_ISL_1305778|A/Goose/Sweden/SVA210311SZ0003/KN0001570-IP14/2021|A_/_H5N5;EPI_ISL_1305778;A/Goose/Sweden/SVA210311SZ0003/KN0001570-IP14/2021;A / H5N5;Europe / Sweden / Skane Lan / Skurups Kommun;;;Anser anser domesticus;2021-03-10;;;;;
>EPI_ISL_1305779|A/Duck/Sweden/SVA210311SZ0004/KN0001570-IP14/2021|A_/_H5N5;EPI_ISL_1305779;A/Duck/Sweden/SVA210311SZ0004/KN0001570-IP14/2021;A / H5N5;Europe / Sweden / Skane Lan / Skurups Kommun;;;Anas sp.;2021-03-10;;;;;
>EPI_ISL_1305781|A/Mute_Swan/Sweden/SVA210302Z0465/KN000716/SOTR/2021|A_/_H5N5;EPI_ISL_1305781;A/Mute_Swan/Sweden/SVA210302Z0465/KN000716/SOTR/2021;A / H5N5;Europe / Sweden / Sodermanlands Lan / Trosa Kommun;;;Cygnus olor;2021-03-01;;;;;
>EPI_ISL_13068727|A/common_crane/Israel/670/2021|A_/_H5N1;EPI_ISL_13068727;A/common_crane/Israel/670/2021;A / H5N1;Asia / Israel / Northern District / Agamon Hula;;;Avian;2021-12-15;;;;;
>EPI_ISL_1307695|A/Mute_Swan/Sweden/SVA210304SZ0311/KN000739/VG/2021|A_/_H5N8;EPI_ISL_1307695;A/Mute_Swan/Sweden/SVA210304SZ0311/KN000739/VG/2021;A / H5N8;Europe / Sweden / Vastra Gotalands Lan / Ockero Kommun;;;Cygnus olor;2021-03-03;;;;;
>EPI_ISL_1307703|A/Canade_goose/Sweden/SVA210304SZ0320/KN000779/SK/2021|A_/_H5N8;EPI_ISL_1307703;A/Canade_goose/Sweden/SVA210304SZ0320/KN000779/SK/2021;A / H5N8;Europe / Sweden / Skane Lan / Klippans Kommun;;;Branta canadensis;2021-02-21;;;;;
>EPI_ISL_1307716|A/Mute_Swan/Sweden/SVA210303SZ0380/KN000800/St/2021|A_/_H5N8;EPI_ISL_1307716;A/Mute_Swan/Sweden/SVA210303SZ0380/KN000800/St/2021;A / H5N8;Europe / Sweden / Stockholms Lan / Sodertalje Kommun;;;Cygnus olor;2021-03-02;;;;;
>EPI_ISL_1307721|A/peregrine_Falcon/Sweden/SVA210303SZ0383/KN000803/Hal/2021|A_/_H5N8;EPI_ISL_1307721;A/peregrine_Falcon/Sweden/SVA210303SZ0383/KN000803/Hal/2021;A / H5N8;Europe / Sweden / Hallands Lan / Varbergs Kommun;;;Falco peregrinus;2021-02-19;;;;;
>EPI_ISL_1308010|A/Mute_Swan/Sweden/SVA210303SZ0392/KN000806/Kal/2021|A_/_H5N5;EPI_ISL_1308010;A/Mute_Swan/Sweden/SVA210303SZ0392/KN000806/Kal/2021;A / H5N5;Europe / Sweden / Kalmar Lan / Monsteras Kommun;;;Cygnus olor;2021-02-26;;;;;
>EPI_ISL_1308013|A/buzzard/Sweden/SVA210304SZ0317/KN000809/Sk/2021|A_/_H5N5;EPI_ISL_1308013;A/buzzard/Sweden/SVA210304SZ0317/KN000809/Sk/2021;A / H5N5;Europe / Sweden / Skane Lan / Trelleborgs Kommun;;;Avian;2021-02-26;;;;;
>EPI_ISL_13243697|A/environment/England/030642/2020|A_/_H5N2;EPI_ISL_13243697;A/environment/England/030642/2020;A / H5N2;Europe / United Kingdom / County of Kent;;;Feces;2020-10-31;;;;;
>EPI_ISL_13338018|A/European_herring_gull/Sweden/SVA220422SZ0382/FB001241/G-2022|A_/_H5N1;EPI_ISL_13338018;A/European_herring_gull/Sweden/SVA220422SZ0382/FB001241/G-2022;A / H5N1;Europe / Sweden / Kronobergs Lan / Vaxjo Kommun;;;Larus argentatus;2022-04-29;;;;;
>EPI_ISL_13369398|A/buzzard/England/107870/2021|A_/_H5N1;EPI_ISL_13369398;A/buzzard/England/107870/2021;A / H5N1;Europe / United Kingdom / England;;;Buteo buteo;2021-11-02;;;;;
>EPI_ISL_13369400|A/Herring_gull/Wales/054692/2021|A_/_H5N1;EPI_ISL_13369400;A/Herring_gull/Wales/054692/2021;A / H5N1;Europe / United Kingdom / Wales;;;Larus argentatus;2021-11-02;;;;;
>EPI_ISL_13369401|A/mute_swan/England/243602/2021|A_/_H5N1;EPI_ISL_13369401;A/mute_swan/England/243602/2021;A / H5N1;Europe / United Kingdom / England;;;Cygnus olor;2021-11-03;;;;;
