SeqID;Isolate_Id;Isolate_Name;;Location;lat;lon;Host;Collection_Date;;;
>EPI_ISL_189688|A/garganey/Republic_of_Georgia/1/2011|A_/_H4N2;EPI_ISL_189688;A/garganey/Republic_of_Georgia/1/2011;A / H4N2;Asia / Georgia;;;Anas querquedula;2011-11-07;;;
>EPI_ISL_189713|A/mallard/Republic_of_Georgia/2/2012|A_/_H2N3;EPI_ISL_189713;A/mallard/Republic_of_Georgia/2/2012;A / H2N3;Asia / Georgia;;;Anas platyrhynchos;2012-01-29;;;
>EPI_ISL_189714|A/mallard/Republic_of_Georgia/14/2011|A_/_H10N7;EPI_ISL_189714;A/mallard/Republic_of_Georgia/14/2011;A / H10N7;Asia / Georgia;;;Anas platyrhynchos;2011-12-13;;;
>EPI_ISL_189721|A/mallard/Republic_of_Georgia/3/2010|A_/_H7N3;EPI_ISL_189721;A/mallard/Republic_of_Georgia/3/2010;A / H7N3;Asia / Georgia;;;Anas platyrhynchos;2010-02-03;;;
>EPI_ISL_189729|A/tufted_duck/Republic_of_Georgia/1/2012|A_/_H2N3;EPI_ISL_189729;A/tufted_duck/Republic_of_Georgia/1/2012;A / H2N3;Asia / Georgia;;;Aythya fuligula;2012-12-22;;;
>EPI_ISL_19000792|A/Canadagoose/Sweden/SVA240212SZ0129/FB000502/AB-2024|A_/_H5N1;EPI_ISL_19000792;A/Canadagoose/Sweden/SVA240212SZ0129/FB000502/AB-2024;A / H5N1;Europe / Sweden / Stockholms Lan / Stockholms Kommun;59,250002;18,030003;Branta canadensis;2024-02-06;Oro-pharyngeal swab;Dead;Wild
>EPI_ISL_19000795|A/Muteswan/Sweden/SVA240221SZ0306/FB000690/H-2024|A_/_H5N1;EPI_ISL_19000795;A/Muteswan/Sweden/SVA240221SZ0306/FB000690/H-2024;A / H5N1;Europe / Sweden / Kalmar Lan / Kalmar Kommun;56,656790;16,348262;Cygnus olor;2024-02-16;Oro-pharyngeal swab;Dead;Wild
>EPI_ISL_19014081|A/chicken/Germany-SN/2024AI01300/2024|A_/_H5N1;EPI_ISL_19014081;A/chicken/Germany-SN/2024AI01300/2024;A / H5N1;Europe / Germany;51,459338;13,183883;Gallus gallus domesticus;2024-02-27;;;
>EPI_ISL_19014084|A/Red_Knot/Germany-SH/2024AI01285/2024|A_/_H5N1;EPI_ISL_19014084;A/Red_Knot/Germany-SH/2024AI01285/2024;A / H5N1;Europe / Germany;;;Avian;2024-02-09;;;
>EPI_ISL_19014085|A/Red_Knot/Germany-SH/2024AI01295/2024|A_/_H5N1;EPI_ISL_19014085;A/Red_Knot/Germany-SH/2024AI01295/2024;A / H5N1;Europe / Germany;;;Avian;2024-02-21;;;
>EPI_ISL_19014086|A/swan/Germany-HE/2024AI01282/2024|A_/_H5N1;EPI_ISL_19014086;A/swan/Germany-HE/2024AI01282/2024;A / H5N1;Europe / Germany;51,312199;9,50451;Cygnus;2024-02-19;;;
>EPI_ISL_19030161|A/Red_Knot/Germany-SH/2024AI01485/2024|A_/_H5N8;EPI_ISL_19030161;A/Red_Knot/Germany-SH/2024AI01485/2024;A / H5N8;Europe / Germany;;;Avian;2024-02-22;;;
>EPI_ISL_19033337|A/chicken/Poland/H79-T2/2024|A_/_H5N1;EPI_ISL_19033337;A/chicken/Poland/H79-T2/2024;A / H5N1;"Europe / Poland / West Pomeranian Voivodeship/Koszalinski region/Bielkowo 42/54°18'52.2""N 16°17'54.2""E";54,314500;16,298389;Gallus gallus domesticus;2024-02-28;Oro-pharyngeal swab;Sick;Domestic
>EPI_ISL_19033339|A/buzzard/Poland/MB098-N/2024|A_/_H5N1;EPI_ISL_19033339;A/buzzard/Poland/MB098-N/2024;A / H5N1;"Europe / Poland / Greater Poland Voivodeship/Zlotowski region/Slawianowskie Wielkie Lake/53°15'13.1""N 17°05'59.0""E";53,253639;17,099722;Buteo buteo;2024-03-03;Organ;Dead;Wild
>EPI_ISL_19033340|A/buzzard/Poland/MB103-N/2024|A_/_H5N1;EPI_ISL_19033340;A/buzzard/Poland/MB103-N/2024;A / H5N1;"Europe / Poland / West Pomeranian Voivodeship/Slawienski region/Gleznowko/54°19'31.2""N 16°17'47.9""E";54,325333;16,296639;Buteo buteo;2024-03-04;Organ;Dead;Wild
>EPI_ISL_19033563|A/turkey/Poland/H543-NM/2023|A_/_H5N1;EPI_ISL_19033563;A/turkey/Poland/H543-NM/2023;A / H5N1;"Europe / Poland / West Pomeranian Voivodeship/Goleniowski region/Ininka 6/53°33'33.5""N 14°45'32.9""E";53,559306;14,759139;Meleagris gallopavo;2023-12-06;;;
>EPI_ISL_19047951|A/Red_Knot/Netherlands/1/2024|A_/_H5N1;EPI_ISL_19047951;A/Red_Knot/Netherlands/1/2024;A / H5N1;Europe / Netherlands / Leeuwarden, Julianapark;;;Avian;2024-03-11;;;
>EPI_ISL_19090717|A/Tyto_alba/Slovakia/Vh-2014/2023|A_/_H5N1;EPI_ISL_19090717;A/Tyto_alba/Slovakia/Vh-2014/2023 ;A / H5N1;Europe / Slovakia / Trenciansky Kraj / Precin;49,0839908;18,5388761;Tyto alba;2023-12-15;;Dead;captive
>EPI_ISL_191604|A/chicken/England/26352/2015|A_/_H7N7;EPI_ISL_191604;A/chicken/England/26352/2015;A / H7N7;Europe / United Kingdom / Lancashire / Preston;;;Chicken;2015-07-09;;;
>EPI_ISL_191724|Recombinant_A/chicken/Italy/473/1999|A_/_H7N1;EPI_ISL_191724;Recombinant_A/chicken/Italy/473/1999;A / H7N1;Europe / Italy;;;Gallus gallus;1999;;;
>EPI_ISL_192665|A/Chicken/NL-Barneveld/15004745-001-005/2015|A_/_H7N7;EPI_ISL_192665;A/Chicken/NL-Barneveld/15004745-001-005/2015;A / H7N7;Europe / Netherlands / Provincie Gelderland / Gemeente Barneveld;;;Gallus gallus;2015-03-11;;;
>EPI_ISL_192666|A/chicken/NL-Barneveld/15004745-006-010/2015|A_/_H7N7;EPI_ISL_192666;A/chicken/NL-Barneveld/15004745-006-010/2015;A / H7N7;Europe / Netherlands / Provincie Gelderland / Gemeente Barneveld;;;Chicken;2015-03-11;;;
>EPI_ISL_1977|A/turkey/Italy/4603/1999|A_/_H7N1;EPI_ISL_1977;A/turkey/Italy/4603/1999;A / H7N1;Europe / Italy / Lombardy;;;Turkey;1999;;;
>EPI_ISL_197754|Recombinant_A/chicken/Italy/445/1999|A_/_H7N1;EPI_ISL_197754;Recombinant_A/chicken/Italy/445/1999;A / H7N1;Europe / Italy;;;Gallus gallus;1998-11-30;;;
>EPI_ISL_202005|A/harbor_seal/NL/PV14-221_Ts/2015|A_/_H10N7;EPI_ISL_202005;A/harbor_seal/NL/PV14-221_Ts/2015;A / H10N7;Europe / Netherlands;;;Seal;2015-01-12;;;
>EPI_ISL_205110|A/chicken/Wuhan/WHJF/2014|A_/_H5N2;EPI_ISL_205110;A/chicken/Wuhan/WHJF/2014;A / H5N2;Asia / China;;;Chicken;2014-12;;;
>EPI_ISL_205133|A/duck/Wuhan/WHYF05/2014|A_/_H9N2;EPI_ISL_205133;A/duck/Wuhan/WHYF05/2014;A / H9N2;Asia / China;;;Duck;2014-12;;;
>EPI_ISL_206811|A/chicken/Hunan/S1248/2010|A_/_H4N6;EPI_ISL_206811;A/chicken/Hunan/S1248/2010;A / H4N6;Asia / China;;;Chicken;2010-03-03;;;
>EPI_ISL_206812|A/chicken/Hunan/S1267/2010|A_/_H4N6;EPI_ISL_206812;A/chicken/Hunan/S1267/2010;A / H4N6;Asia / China;;;Chicken;2010-03-03;;;
>EPI_ISL_206835|A/duck/Jiangsu/S2447/2011|A_/_H4N6;EPI_ISL_206835;A/duck/Jiangsu/S2447/2011;A / H4N6;Asia / China;;;Duck;2011-06-03;;;
>EPI_ISL_206845|A/goose/Jiangsu/S2433/2011|A_/_H4N6;EPI_ISL_206845;A/goose/Jiangsu/S2433/2011;A / H4N6;Asia / China;;;Goose;2011-06-10;;;
>EPI_ISL_208941|A/duck/Jiangxi/7554/2007|A_/_H9N2;EPI_ISL_208941;A/duck/Jiangxi/7554/2007;A / H9N2;Asia / China;;;Duck;2007-12-28;;;
>EPI_ISL_21002|A/turkey/Italy/4580/99|A_/_H7N1;EPI_ISL_21002;A/turkey/Italy/4580/99;A / H7N1;Europe / Italy;;;Turkey;1999;;;
>EPI_ISL_21008|A/turkey/Italy/977/99|A_/_H7N1;EPI_ISL_21008;A/turkey/Italy/977/99;A / H7N1;Europe / Italy;;;Turkey;1999;;;
>EPI_ISL_21013|A/turkey/Italy/3560/99|A_/_H7N1;EPI_ISL_21013;A/turkey/Italy/3560/99;A / H7N1;Europe / Italy;;;Turkey;1999-09-27;;;
>EPI_ISL_21015|A/turkey/Italy/1265/99|A_/_H7N1;EPI_ISL_21015;A/turkey/Italy/1265/99;A / H7N1;Europe / Italy;;;Turkey;1999-04-10;;;
>EPI_ISL_212418|A/Mallard/Hubei/chenhu_VI102/2015_H1N8|A_/_H1N8;EPI_ISL_212418;A/Mallard/Hubei/chenhu_VI102/2015_H1N8;A / H1N8;Asia / China / Hubei Province / wuhan;;;Anas platyrhynchos;2015-02-05;;;
>EPI_ISL_212426|A/Bean_Goose/Hubei/chenhu_VIII10/2015_H11N8|A_/_H11N8;EPI_ISL_212426;A/Bean_Goose/Hubei/chenhu_VIII10/2015_H11N8;A / H11N8;Asia / China / Hubei Province / wuhan;;;Anser fabalis;2015-03-09;;;
>EPI_ISL_212427|A/Bean_Goose/Hubei/chenhu_VIII49/2015|A_/_H11N8;EPI_ISL_212427;A/Bean_Goose/Hubei/chenhu_VIII49/2015_H11N8_;A / H11N8;Asia / China / Hubei Province / wuhan;;;Anser fabalis;2015-03-09;;;
>EPI_ISL_213839|A/Anas_platyrhynchos/Belgium/23852cls33/2012|A_/_H7N7;EPI_ISL_213839;A/Anas_platyrhynchos/Belgium/23852cls33/2012;A / H7N7;Europe / Belgium;;;Anas platyrhynchos;2012-09-12;;;
>EPI_ISL_216877|A/mallard/Novomyhalivka/10-23-12/2010|A_/_H7N7;EPI_ISL_216877;A/mallard/Novomyhalivka/10-23-12/2010;A / H7N7;Europe / Ukraine;;;Anas platyrhynchos;2010-12-23;;;
>EPI_ISL_216878|A/mallard/Nizhnegorsk/3-06-10/2010|A_/_H7N7;EPI_ISL_216878;A/mallard/Nizhnegorsk/3-06-10/2010;A / H7N7;Europe / Ukraine;;;Anas platyrhynchos;2010-10-06;;;
>EPI_ISL_216879|A/mallard/Askania-Nova/39-15-02/2011|A_/_H7N7;EPI_ISL_216879;A/mallard/Askania-Nova/39-15-02/2011;A / H7N7;Europe / Ukraine;;;Anas platyrhynchos;2011-02-15;;;
>EPI_ISL_217879|A/Bean_Goose/Hubei/chenhu__XVI311-2_/2016_H5N8|A_/_H5N8;EPI_ISL_217879;A/Bean_Goose/Hubei/chenhu__XVI311-2_/2016_H5N8;A / H5N8;Asia / China / Hubei Province;;;Anser fabalis;2016-02-26;;;
>EPI_ISL_217938|A/Anser_cygnoides/Hubei/Chenhu1228/2014_H7N7|A_/_H7N7;EPI_ISL_217938;A/Anser_cygnoides/Hubei/Chenhu1228/2014_H7N7;A / H7N7;Asia / China / Hubei Province;;;Anser cygnoides;2014-02-26;;;
>EPI_ISL_220507|A/duck/Hokkaido/W9/2015|A_/_H1N1;EPI_ISL_220507;A/duck/Hokkaido/W9/2015;A / H1N1;Asia / Japan / Hokkaido;;;Anas platyrhynchos;2015-09-30;;;
>EPI_ISL_224260|A/turkey/Germany/R534/2013|A_/_H7N7;EPI_ISL_224260;A/turkey/Germany/R534/2013;A / H7N7;Europe / Germany;;;Turkey;2013;;;
>EPI_ISL_224261|A/turkey/Germany/R11/2001(H7N7)|A_/_H7N7;EPI_ISL_224261;A/turkey/Germany/R11/2001(H7N7);A / H7N7;Europe / Germany;;;Turkey;2001;;;
>EPI_ISL_231648|A/teal/Chany_Lake/104_cloaca/2012|A_/_H4N6;EPI_ISL_231648;A/teal/Chany_Lake/104_cloaca/2012;A / H4N6;Europe / Russian Federation / Novosibirsk Oblast;;;Duck;2012-08-26;;;
>EPI_ISL_234402|A/common_teal/Poland/80/2012|A_/_H5N3;EPI_ISL_234402;A/common_teal/Poland/80/2012;A / H5N3;Europe / Poland / Lodz Voivodeship;;;Anas crecca;2012-09-02;;;
>EPI_ISL_234403|A/mallard/Poland/76/2013|A_/_H5N3;EPI_ISL_234403;A/mallard/Poland/76/2013;A / H5N3;Europe / Poland / West Pomeranian Voivodeship;;;Anas platyrhynchos;2013-08-28;;;
>EPI_ISL_234404|A/mute_swan/Poland/86-1/2013|A_/_H5N3;EPI_ISL_234404;A/mute_swan/Poland/86-1/2013;A / H5N3;Europe / Poland / Lodz Voivodeship;;;Cygnus olor;2013-09-15;;;
>EPI_ISL_234406|A/mallard/Poland/96/2013|A_/_H5N3;EPI_ISL_234406;A/mallard/Poland/96/2013;A / H5N3;Europe / Poland / Pomeranian Voivodeship;;;Anas platyrhynchos;2013-10-26;;;
>EPI_ISL_234407|A/mallard/Poland/10/2014|A_/_H5N3;EPI_ISL_234407;A/mallard/Poland/10/2014;A / H5N3;Europe / Poland / Warmian-Masurian Voivedeship;;;Anas platyrhynchos;2014-01-18;;;
>EPI_ISL_234408|A/mallard/Poland/141/2015|A_/_H5N1;EPI_ISL_234408;A/mallard/Poland/141/2015;A / H5N1;Europe / Poland / Pomeranian Voivodeship;;;Anas platyrhynchos;2015-11-26;;;
>EPI_ISL_234423|A/environment/Korea/W437/2012|A_/_H7N7;EPI_ISL_234423;A/environment/Korea/W437/2012;A / H7N7;Asia / South Korea;;;Environment;2012-12-31;;;
>EPI_ISL_237128|A/duck/Shimane/321101/2015|A_/_H3N8;EPI_ISL_237128;A/duck/Shimane/321101/2015;A / H3N8;Asia / Japan;;;Duck;2015-11;;;
>EPI_ISL_237129|A/duck/Tottori/311217/2014|A_/_H11N9;EPI_ISL_237129;A/duck/Tottori/311217/2014;A / H11N9;Asia / Japan;;;Duck;2014-12;;;
>EPI_ISL_237147|A/duck/Kagoshima/461213/2013|A_/_H4N6;EPI_ISL_237147;A/duck/Kagoshima/461213/2013;A / H4N6;Asia / Japan;;;Duck;2013-12;;;
>EPI_ISL_237148|A/duck/Okinawa/471017/2015|A_/_H4N6;EPI_ISL_237148;A/duck/Okinawa/471017/2015;A / H4N6;Asia / Japan;;;Duck;2015-10;;;
>EPI_ISL_237176|A/duck/Kagoshima/461219/2013|A_/_H4N6;EPI_ISL_237176;A/duck/Kagoshima/461219/2013;A / H4N6;Asia / Japan;;;Duck;2013-12;;;
>EPI_ISL_237791|A/mallard/Germany/439/2004|A_/_H3N2;EPI_ISL_237791;A/mallard/Germany/439/2004;A / H3N2;Europe / Germany / Mecklenburg-Vorpommern;;;Anas platyrhynchos;2004-01-01;;;
>EPI_ISL_239393|A/duck/Aichi/231002/2016|A_/_H6N5;EPI_ISL_239393;A/duck/Aichi/231002/2016;A / H6N5;Asia / Japan;;;Duck;2016-10-18;;;
>EPI_ISL_239411|A/duck/Aichi/231105/2015|A_/_H1N1;EPI_ISL_239411;A/duck/Aichi/231105/2015;A / H1N1;Asia / Japan;;;Duck;2015-11-25;;;
>EPI_ISL_239412|A/duck/Aichi/230307/2015|A_/_H2N9;EPI_ISL_239412;A/duck/Aichi/230307/2015;A / H2N9;Asia / Japan;;;Duck;2015-03-18;;;
>EPI_ISL_239574|A/duck/Yamanashi/191109/2016|A_/_H11N3;EPI_ISL_239574;A/duck/Yamanashi/191109/2016;A / H11N3;Asia / Japan;;;Duck;2016-11-28;;;
>EPI_ISL_239575|A/duck/Yamanashi/191113/2016|A_/_H11N3;EPI_ISL_239575;A/duck/Yamanashi/191113/2016;A / H11N3;Asia / Japan;;;Duck;2016-11-28;;;
>EPI_ISL_239576|A/duck/Yamanashi/191112/2016|A_/_H11N3;EPI_ISL_239576;A/duck/Yamanashi/191112/2016;A / H11N3;Asia / Japan;;;Duck;2016-11-28;;;
>EPI_ISL_239577|A/duck/Yamanashi/191110/2016|A_/_H11N3;EPI_ISL_239577;A/duck/Yamanashi/191110/2016;A / H11N3;Asia / Japan;;;Duck;2016-11-28;;;
>EPI_ISL_239578|A/duck/Yamanashi/191106/2016|A_/_H11N3;EPI_ISL_239578;A/duck/Yamanashi/191106/2016;A / H11N3;Asia / Japan;;;Duck;2016-11-28;;;
>EPI_ISL_239579|A/duck/Yamanashi/191111/2016|A_/_H11N3;EPI_ISL_239579;A/duck/Yamanashi/191111/2016;A / H11N3;Asia / Japan;;;Duck;2016-11-28;;;
>EPI_ISL_240620|A/duck/Ibaraki/104/2016|A_/_H1N1;EPI_ISL_240620;A/duck/Ibaraki/104/2016;A / H1N1;Asia / Japan;;;Duck;2016-12-14;;;
>EPI_ISL_242410|A/duck/Yamaguchi/351201/2016|A_/_H4N6;EPI_ISL_242410;A/duck/Yamaguchi/351201/2016;A / H4N6;Asia / Japan / Yamaguchi;;;Duck;2016-12-16;;;
>EPI_ISL_243349|A/wild_bird/Jiangxi/P419/2016|A_/_H6N8;EPI_ISL_243349;A/wild_bird/Jiangxi/P419/2016;A / H6N8;Asia / China;;;Avian;2016-01-07;;;
>EPI_ISL_243385|A/greater_white-fronted_goose/Netherlands/5/2010|A_/_H5N3;EPI_ISL_243385;A/greater_white-fronted_goose/Netherlands/5/2010;A / H5N3;Europe / Netherlands;;;Anser albifrons;2010-11-13;;;
>EPI_ISL_243393|A/mallard_duck/Netherlands/6/2015|A_/_H10N7;EPI_ISL_243393;A/mallard_duck/Netherlands/6/2015;A / H10N7;Europe / Netherlands;;;Anas platyrhynchos;2015-03-04;;;
>EPI_ISL_243398|A/mallard_duck/Netherlands/30/2011|A_/_H6N4;EPI_ISL_243398;A/mallard_duck/Netherlands/30/2011;A / H6N4;Europe / Netherlands;;;Anas platyrhynchos;2011-10-19;;;
>EPI_ISL_243399|A/mallard_duck/Netherlands/7/2011|A_/_H4N6;EPI_ISL_243399;A/mallard_duck/Netherlands/7/2011;A / H4N6;Europe / Netherlands;;;Anas platyrhynchos;2011-08-15;;;
>EPI_ISL_243406|A/gadwall_duck/Netherlands/1/2011|A_/_H6N2;EPI_ISL_243406;A/gadwall_duck/Netherlands/1/2011;A / H6N2;Europe / Netherlands;;;Anas strepera;2011-11-04;;;
>EPI_ISL_243434|A/mallard_duck/Netherlands/33/2014|A_/_H10N7;EPI_ISL_243434;A/mallard_duck/Netherlands/33/2014;A / H10N7;Europe / Netherlands;;;Anas platyrhynchos;2014-12-16;;;
>EPI_ISL_243439|A/mallard_duck/Netherlands/13/2013|A_/_H7N7;EPI_ISL_243439;A/mallard_duck/Netherlands/13/2013;A / H7N7;Europe / Netherlands;;;Anas platyrhynchos;2013-12-10;;;
>EPI_ISL_243453|A/mallard_duck/Netherlands/31/2013|A_/_H10N7;EPI_ISL_243453;A/mallard_duck/Netherlands/31/2013;A / H10N7;Europe / Netherlands;;;Anas platyrhynchos;2013-05-20;;;
>EPI_ISL_243456|A/mallard_duck/Netherlands/5/2012|A_/_H10N7;EPI_ISL_243456;A/mallard_duck/Netherlands/5/2012;A / H10N7;Europe / Netherlands;;;Anas platyrhynchos;2012-05-12;;;
>EPI_ISL_243457|A/barnacle_goose/Netherlands/1/2014|A_/_H6N8;EPI_ISL_243457;A/barnacle_goose/Netherlands/1/2014;A / H6N8;Europe / Netherlands;;;Branta leucopsis;2014-12-15;;;
>EPI_ISL_243472|A/mallard_duck/Netherlands/15/2009|A_/_H6N8;EPI_ISL_243472;A/mallard_duck/Netherlands/15/2009;A / H6N8;Europe / Netherlands;;;Anas platyrhynchos;2009-10-02;;;
>EPI_ISL_243486|A/turnstone/Netherlands/1/2010|A_/_H3N8;EPI_ISL_243486;A/turnstone/Netherlands/1/2010;A / H3N8;Europe / Netherlands;;;Arenaria interpres;2010-10-09;;;
>EPI_ISL_243490|A/greater_white-fronted_goose/Netherlands/11/2009|A_/_H6N1;EPI_ISL_243490;A/greater_white-fronted_goose/Netherlands/11/2009;A / H6N1;Europe / Netherlands;;;Anser albifrons;2009-12-09;;;
>EPI_ISL_243491|A/mallard_duck/Netherlands/32/2013|A_/_H10N7;EPI_ISL_243491;A/mallard_duck/Netherlands/32/2013;A / H10N7;Europe / Netherlands;;;Anas platyrhynchos;2013-08-05;;;
>EPI_ISL_243498|A/mallard_duck/Netherlands/26/2010|A_/_H4N6;EPI_ISL_243498;A/mallard_duck/Netherlands/26/2010;A / H4N6;Europe / Netherlands;;;Anas platyrhynchos;2010-09-13;;;
>EPI_ISL_243504|A/mallard_duck/Netherlands/1/2014|A_/_H10N7;EPI_ISL_243504;A/mallard_duck/Netherlands/1/2014;A / H10N7;Europe / Netherlands;;;Anas platyrhynchos;2014-02-17;;;
>EPI_ISL_243522|A/mallard_duck/Netherlands/13/2012|A_/_H3N8;EPI_ISL_243522;A/mallard_duck/Netherlands/13/2012;A / H3N8;Europe / Netherlands;;;Anas platyrhynchos;2012-10-01;;;
>EPI_ISL_243534|A/mallard_duck/Netherlands/1/2012|A_/_H10N7;EPI_ISL_243534;A/mallard_duck/Netherlands/1/2012;A / H10N7;Europe / Netherlands;;;Anas platyrhynchos;2012-01-14;;;
>EPI_ISL_243537|A/mallard_duck/Netherlands/5/2013|A_/_H1N1;EPI_ISL_243537;A/mallard_duck/Netherlands/5/2013;A / H1N1;Europe / Netherlands;;;Anas platyrhynchos;2013-09-16;;;
>EPI_ISL_243553|A/mallard_duck/Netherlands/6/2013|A_/_H3N8;EPI_ISL_243553;A/mallard_duck/Netherlands/6/2013;A / H3N8;Europe / Netherlands;;;Anas platyrhynchos;2013-10-01;;;
>EPI_ISL_243579|A/mallard_duck/Netherlands/1/2013|A_/_H7N7;EPI_ISL_243579;A/mallard_duck/Netherlands/1/2013;A / H7N7;Europe / Netherlands;;;Anas platyrhynchos;2013-01-26;;;
>EPI_ISL_243580|A/mallard_duck/Netherlands/53/2010|A_/_H1N1;EPI_ISL_243580;A/mallard_duck/Netherlands/53/2010;A / H1N1;Europe / Netherlands;;;Anas platyrhynchos;2010-12-08;;;
>EPI_ISL_243583|A/greater_white-fronted_goose/Netherlands/9/2009|A_/_H6N2;EPI_ISL_243583;A/greater_white-fronted_goose/Netherlands/9/2009;A / H6N2;Europe / Netherlands;;;Anser albifrons;2009-12-30;;;
>EPI_ISL_243586|A/mallard_duck/Netherlands/1/2011|A_/_H7N7;EPI_ISL_243586;A/mallard_duck/Netherlands/1/2011;A / H7N7;Europe / Netherlands;;;Anas platyrhynchos;2011-02-23;;;
>EPI_ISL_243592|A/Eurasian_wigeon/Netherlands/1/2010|A_/_H5N2;EPI_ISL_243592;A/Eurasian_wigeon/Netherlands/1/2010;A / H5N2;Europe / Netherlands;;;Anas penelope;2010-09-27;;;
>EPI_ISL_243594|A/mallard_duck/Netherlands/51/2010|A_/_H1N1;EPI_ISL_243594;A/mallard_duck/Netherlands/51/2010;A / H1N1;Europe / Netherlands;;;Anas platyrhynchos;2010-12-03;;;
>EPI_ISL_243595|A/mallard_duck/Netherlands/18/2010|A_/_H6N8;EPI_ISL_243595;A/mallard_duck/Netherlands/18/2010;A / H6N8;Europe / Netherlands;;;Anas platyrhynchos;2010-09-03;;;
>EPI_ISL_243607|A/mallard_duck/Netherlands/24/2013|A_/_H4N6;EPI_ISL_243607;A/mallard_duck/Netherlands/24/2013;A / H4N6;Europe / Netherlands;;;Anas platyrhynchos;2013-09-16;;;
>EPI_ISL_243610|A/mallard_duck/Netherlands/7/2012|A_/_H1N1;EPI_ISL_243610;A/mallard_duck/Netherlands/7/2012;A / H1N1;Europe / Netherlands;;;Anas platyrhynchos;2012-07-09;;;
>EPI_ISL_243612|A/mallard_duck/Netherlands/2/2015|A_/_H7N7;EPI_ISL_243612;A/mallard_duck/Netherlands/2/2015;A / H7N7;Europe / Netherlands;;;Anas platyrhynchos;2015-01-16;;;
>EPI_ISL_243613|A/greater_white-fronted_goose/Netherlands/4/2010|A_/_H6N8;EPI_ISL_243613;A/greater_white-fronted_goose/Netherlands/4/2010;A / H6N8;Europe / Netherlands;;;Anser albifrons;2010-02-04;;;
>EPI_ISL_243620|A/mallard_duck/Netherlands/7/2014|A_/_H6N2;EPI_ISL_243620;A/mallard_duck/Netherlands/7/2014;A / H6N2;Europe / Netherlands;;;Anas platyrhynchos;2014-10-01;;;
>EPI_ISL_243627|A/Eurasian_wigeon/Netherlands/1/2006|A_/_H6N2;EPI_ISL_243627;A/Eurasian_wigeon/Netherlands/1/2006;A / H6N2;Europe / Netherlands;;;Anas penelope;2006-12-21;;;
>EPI_ISL_243654|A/greater_white-fronted_goose/Netherlands/1/2012|A_/_H1N1;EPI_ISL_243654;A/greater_white-fronted_goose/Netherlands/1/2012;A / H1N1;Europe / Netherlands;;;Anser albifrons;2012-11-20;;;
>EPI_ISL_243657|A/greater_white-fronted_goose/Netherlands/6/2010|A_/_H6N2;EPI_ISL_243657;A/greater_white-fronted_goose/Netherlands/6/2010;A / H6N2;Europe / Netherlands;;;Anser albifrons;2010-11-23;;;
>EPI_ISL_243659|A/mallard_duck/Netherlands/10/2012|A_/_H6N1;EPI_ISL_243659;A/mallard_duck/Netherlands/10/2012;A / H6N1;Europe / Netherlands;;;Anas platyrhynchos;2012-09-05;;;
>EPI_ISL_243664|A/mallard_duck/Netherlands/19/2012|A_/_H4N6;EPI_ISL_243664;A/mallard_duck/Netherlands/19/2012;A / H4N6;Europe / Netherlands;;;Anas platyrhynchos;2012-09-07;;;
>EPI_ISL_243666|A/mallard_duck/Netherlands/26/2011|A_/_H11N9;EPI_ISL_243666;A/mallard_duck/Netherlands/26/2011;A / H11N9;Europe / Netherlands;;;Anas platyrhynchos;2011-10-10;;;
>EPI_ISL_267161|A/mallard_duck/Sweden/139937/2012|A_/_H15N5;EPI_ISL_267161;A/mallard_duck/Sweden/139937/2012;A / H15N5;Europe / Sweden;;;Anas platyrhynchos;2012-12-06;;;
>EPI_ISL_267171|A/mallard_duck/Netherlands/22/2013|A_/_H2N3;EPI_ISL_267171;A/mallard_duck/Netherlands/22/2013;A / H2N3;Europe / Netherlands;;;Anas platyrhynchos;2013-01-07;;;
>EPI_ISL_267186|A/mallard_duck/Netherlands/8/2014|A_/_H7N5;EPI_ISL_267186;A/mallard_duck/Netherlands/8/2014;A / H7N5;Europe / Netherlands;;;Anas platyrhynchos;2014-10-28;;;
>EPI_ISL_267194|A/mallard_duck/Netherlands/14/2014|A_/_H2N9;EPI_ISL_267194;A/mallard_duck/Netherlands/14/2014;A / H2N9;Europe / Netherlands;;;Anas platyrhynchos;2014-08-27;;;
>EPI_ISL_267197|A/mallard_duck/Netherlands/20/2012|A_/_H1N1;EPI_ISL_267197;A/mallard_duck/Netherlands/20/2012;A / H1N1;Europe / Netherlands;;;Anas platyrhynchos;2012-11-24;;;
>EPI_ISL_267199|A/mallard_duck/Netherlands/33/2011|A_/_H2N2;EPI_ISL_267199;A/mallard_duck/Netherlands/33/2011;A / H2N2;Europe / Netherlands;;;Anas platyrhynchos;2011-10-24;;;
>EPI_ISL_267219|A/mallard_duck/Netherlands/11/2014|A_/_H6N2;EPI_ISL_267219;A/mallard_duck/Netherlands/11/2014;A / H6N2;Europe / Netherlands;;;Anas platyrhynchos;2014-11-22;;;
>EPI_ISL_267228|A/mallard_duck/Netherlands/12/2011|A_/_H6N9;EPI_ISL_267228;A/mallard_duck/Netherlands/12/2011;A / H6N9;Europe / Netherlands;;;Anas platyrhynchos;2011-09-01;;;
>EPI_ISL_267231|A/mallard_duck/Sweden/139899/2012|A_/_H15N5;EPI_ISL_267231;A/mallard_duck/Sweden/139899/2012;A / H15N5;Europe / Sweden;;;Anas platyrhynchos;2012-12-05;;;
