SeqID;Isolate_Id;Isolate_Name;;Location;lat;lon;Host;Collection_Date;;;
>EPI_ISL_149862|A/ruddy_shelduck/Mongolia/1189/2010|A_/_H7N1;EPI_ISL_149862;A/ruddy_shelduck/Mongolia/1189/2010;A / H7N1;Asia / Mongolia;;;Tadorna feruginea;2010-07-24;;;
>EPI_ISL_149869|A/ruddy_shelduck/Mongolia/436/2010|A_/_H7N1;EPI_ISL_149869;A/ruddy_shelduck/Mongolia/436/2010;A / H7N1;Asia / Mongolia;;;Tadorna feruginea;2010-06-19;;;
>EPI_ISL_149873|A/common_shelduck/Mongolia/2076/2011|A_/_H3N8;EPI_ISL_149873;A/common_shelduck/Mongolia/2076/2011;A / H3N8;Asia / Mongolia;;;Tadorna tadorna;2011-10-08;;;
>EPI_ISL_149875|A/common_shelduck/Mongolia/2185/2011|A_/_H3N8;EPI_ISL_149875;A/common_shelduck/Mongolia/2185/2011;A / H3N8;Asia / Mongolia;;;Tadorna tadorna;2011-10-09;;;
>EPI_ISL_149877|A/mallard/Mongolia/2377/2011|A_/_H3N6;EPI_ISL_149877;A/mallard/Mongolia/2377/2011;A / H3N6;Asia / Mongolia;;;Anas platyrhynchos;2011-10-11;;;
>EPI_ISL_149883|A/surf_scooter/Mongolia/878V/2009|A_/_H10N8;EPI_ISL_149883;A/surf_scooter/Mongolia/878V/2009;A / H10N8;Asia / Mongolia;;;Melanitta perspicillata;2009-09-15;;;
>EPI_ISL_149891|A/common_teal/Mongolia/1920/2011|A_/_H4N6;EPI_ISL_149891;A/common_teal/Mongolia/1920/2011;A / H4N6;Asia / Mongolia;;;Anas discors;2011-09-18;;;
>EPI_ISL_149901|A/velvet_scoter/Mongolia/879V/2009|A_/_H10N8;EPI_ISL_149901;A/velvet_scoter/Mongolia/879V/2009;A / H10N8;Asia / Mongolia;;;Melanitta fusca;2009-09-15;;;
>EPI_ISL_149903|A/ruddy_shelduck/Mongolia/1209/2010|A_/_H7N1;EPI_ISL_149903;A/ruddy_shelduck/Mongolia/1209/2010;A / H7N1;Asia / Mongolia;;;Tadorna feruginea;2010-07-24;;;
>EPI_ISL_150006|A/mallard/Sweden/43/2002|A_/_H10N5;EPI_ISL_150006;A/mallard/Sweden/43/2002;A / H10N5;Europe / Sweden;;;Anas platyrhynchos;2002-11-13;;;
>EPI_ISL_150013|A/mallard/Sweden/9/2003|A_/_H2N5;EPI_ISL_150013;A/mallard/Sweden/9/2003;A / H2N5;Europe / Sweden;;;Anas platyrhynchos;2003-06-12;;;
>EPI_ISL_150053|A/mallard/Sweden/54/2002|A_/_H4N6;EPI_ISL_150053;A/mallard/Sweden/54/2002;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2002-11-16;;;
>EPI_ISL_151927|A/wild_waterfowl/Dongting/C2383/2012|A_/_H1N2;EPI_ISL_151927;A/wild_waterfowl/Dongting/C2383/2012;A / H1N2;Asia / China;;;Avian;2012-01-10;;;
>EPI_ISL_15267028|A/Mallard/Netherlands/7/2022|A_/_H5N3;EPI_ISL_15267028;A/Mallard/Netherlands/7/2022;A / H5N3;Europe / Netherlands / Hippolytushoef, Mulders Eendenkooi;;;Avian;2022-09-05;;;
>EPI_ISL_155974|A/chicken/Italy/1081/1999|A_/_H7N1;EPI_ISL_155974;A/chicken/Italy/1081/1999;A / H7N1;Europe / Italy;;;Chicken;1999-04-02;;;
>EPI_ISL_155977|A/turkey/Italy/1744/1999|A_/_H7N1;EPI_ISL_155977;A/turkey/Italy/1744/1999;A / H7N1;Europe / Italy;;;Turkey;1999-04-26;;;
>EPI_ISL_156215|A/duck/Moscow/4182/2010|A_/_H5N3;EPI_ISL_156215;A/duck/Moscow/4182/2010;A / H5N3;Europe / Russian Federation;;;Duck;2010-11;;;
>EPI_ISL_158185|A/mallard/Sweden/79391/2008|A_/_H4N2;EPI_ISL_158185;A/mallard/Sweden/79391/2008;A / H4N2;Europe / Sweden;;;Anas platyrhynchos;2008-11-15;;;
>EPI_ISL_158188|A/mallard/Sweden/105093/2009|A_/_H4N6;EPI_ISL_158188;A/mallard/Sweden/105093/2009;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2009-11-27;;;
>EPI_ISL_158212|A/mallard/Sweden/4639/2004|A;EPI_ISL_158212;A/mallard/Sweden/4639/2004;A;Europe / Sweden;;;Anas platyrhynchos;2004-09-04;;;
>EPI_ISL_158322|A/mallard/Sweden/79186/2008|A;EPI_ISL_158322;A/mallard/Sweden/79186/2008;A;Europe / Sweden;;;Anas platyrhynchos;2008-11-12;;;
>EPI_ISL_158323|A/mallard/Sweden/79187/2008|A_/_H4N6;EPI_ISL_158323;A/mallard/Sweden/79187/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-12;;;
>EPI_ISL_158324|A/mallard/Sweden/79230/2008|A;EPI_ISL_158324;A/mallard/Sweden/79230/2008;A;Europe / Sweden;;;Anas platyrhynchos;2008-11-13;;;
>EPI_ISL_158327|A/mallard/Sweden/79328/2008|A_/_H4N6;EPI_ISL_158327;A/mallard/Sweden/79328/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-14;;;
>EPI_ISL_158330|A/mallard/Sweden/79332/2008|A_/_H4N6;EPI_ISL_158330;A/mallard/Sweden/79332/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-14;;;
>EPI_ISL_158332|A/mallard/Sweden/79367/2008|A_/_H4N6;EPI_ISL_158332;A/mallard/Sweden/79367/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-15;;;
>EPI_ISL_158334|A/mallard/Sweden/79375/2008|A_/_H4N6;EPI_ISL_158334;A/mallard/Sweden/79375/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-15;;;
>EPI_ISL_158335|A/mallard/Sweden/79388/2008|A_/_H4N6;EPI_ISL_158335;A/mallard/Sweden/79388/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-15;;;
>EPI_ISL_158336|A/mallard/Sweden/79412/2008|A_/_H4N6;EPI_ISL_158336;A/mallard/Sweden/79412/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-15;;;
>EPI_ISL_158339|A/mallard/Sweden/79956/2008|A;EPI_ISL_158339;A/mallard/Sweden/79956/2008;A;Europe / Sweden;;;Anas platyrhynchos;2008-11-16;;;
>EPI_ISL_158342|A/mallard/Sweden/79981/2008|A_/_H4N6;EPI_ISL_158342;A/mallard/Sweden/79981/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-16;;;
>EPI_ISL_158343|A/mallard/Sweden/79998/2008|A_/_H4N6;EPI_ISL_158343;A/mallard/Sweden/79998/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-17;;;
>EPI_ISL_158344|A/mallard/Sweden/80009/2008|A_/_H4N6;EPI_ISL_158344;A/mallard/Sweden/80009/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-17;;;
>EPI_ISL_158345|A/mallard/Sweden/80010/2008|A_/_H4N6;EPI_ISL_158345;A/mallard/Sweden/80010/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-17;;;
>EPI_ISL_158346|A/mallard/Sweden/80014/2008|A_/_H4N6;EPI_ISL_158346;A/mallard/Sweden/80014/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-17;;;
>EPI_ISL_158347|A/mallard/Sweden/80051/2008|A_/_H4N6;EPI_ISL_158347;A/mallard/Sweden/80051/2008;A / H4N6;Europe / Sweden;;;Anas platyrhynchos;2008-11-18;;;
